benchmark,algorithm,time
npuzzle_3x3_len7_7.txt,astar,0.2216
npuzzle_3x3_len9_5.txt,bfs,0.5707
npuzzle_3x3_len9_5.txt,dfs,0.2391
npuzzle_3x3_len9_5.txt,astar,0.2223
npuzzle_4x4_len7_7.txt,bfs,0.2233
npuzzle_4x4_len7_7.txt,dfs,0.2267
npuzzle_4x4_len7_7.txt,astar,0.2493
npuzzle_5x5_len1_5.txt,bfs,0.2253
npuzzle_5x5_len1_5.txt,dfs,0.2307
npuzzle_5x5_len1_5.txt,astar,0.2231
npuzzle_5x5_len8_7.txt,bfs,1.0198
npuzzle_5x5_len8_7.txt,dfs,0.2945
npuzzle_5x5_len8_7.txt,astar,0.2788
npuzzle_4x4_len7_6.txt,bfs,0.2587
npuzzle_4x4_len7_6.txt,dfs,0.2325
npuzzle_4x4_len7_6.txt,astar,0.2354
npuzzle_5x5_len2_4.txt,bfs,0.251
npuzzle_5x5_len2_4.txt,dfs,0.2488
npuzzle_5x5_len2_4.txt,astar,0.256
npuzzle_3x3_len10_0.txt,bfs,0.2815
npuzzle_3x3_len10_0.txt,dfs,0.3156
npuzzle_3x3_len10_0.txt,astar,0.4071
npuzzle_5x5_len4_8.txt,bfs,0.3844
npuzzle_5x5_len4_8.txt,dfs,0.3726
npuzzle_5x5_len4_8.txt,astar,0.2388
npuzzle_5x5_len5_6.txt,bfs,0.2435
npuzzle_5x5_len5_6.txt,dfs,0.2509
npuzzle_5x5_len5_6.txt,astar,0.284
npuzzle_4x4_len6_0.txt,bfs,0.2217
npuzzle_4x4_len6_0.txt,dfs,0.2287
npuzzle_4x4_len6_0.txt,astar,0.2251
npuzzle_4x4_len1_3.txt,bfs,0.2368
npuzzle_4x4_len1_3.txt,dfs,0.2296
npuzzle_4x4_len1_3.txt,astar,0.2338
npuzzle_3x3_len3_3.txt,bfs,0.2256
npuzzle_3x3_len3_3.txt,dfs,0.2231
npuzzle_3x3_len3_3.txt,astar,0.2382
npuzzle_3x3_len5_8.txt,bfs,0.2434
npuzzle_3x3_len5_8.txt,dfs,0.2166
npuzzle_3x3_len5_8.txt,astar,0.2135
npuzzle_3x3_len9_4.txt,bfs,0.2122
npuzzle_3x3_len9_4.txt,dfs,0.2236
npuzzle_3x3_len9_4.txt,astar,0.235
npuzzle_4x4_len9_8.txt,bfs,0.2217
npuzzle_4x4_len9_8.txt,dfs,0.2295
npuzzle_4x4_len9_8.txt,astar,0.2267
npuzzle_4x4_len4_9.txt,bfs,0.2459
npuzzle_4x4_len4_9.txt,dfs,0.2676
npuzzle_4x4_len4_9.txt,astar,0.2309
npuzzle_3x3_len2_3.txt,bfs,0.2345
npuzzle_3x3_len2_3.txt,dfs,0.2323
npuzzle_3x3_len2_3.txt,astar,0.2254
npuzzle_5x5_len2_1.txt,bfs,0.2321
npuzzle_5x5_len2_1.txt,dfs,0.2225
npuzzle_5x5_len2_1.txt,astar,0.2297
npuzzle_4x4_len7_2.txt,bfs,0.2414
npuzzle_4x4_len7_2.txt,dfs,0.2479
npuzzle_4x4_len7_2.txt,astar,0.2268
npuzzle_3x3_len7_3.txt,bfs,0.2219
npuzzle_3x3_len7_3.txt,dfs,0.2327
npuzzle_3x3_len7_3.txt,astar,0.2776
npuzzle_3x3_len4_7.txt,bfs,0.2304
npuzzle_3x3_len4_7.txt,dfs,0.213
npuzzle_3x3_len4_7.txt,astar,0.2243
npuzzle_4x4_len1_2.txt,bfs,0.2351
npuzzle_4x4_len1_2.txt,dfs,0.2452
npuzzle_4x4_len1_2.txt,astar,0.2115
npuzzle_3x3_len6_3.txt,bfs,0.204
npuzzle_3x3_len6_3.txt,dfs,0.2308
npuzzle_3x3_len6_3.txt,astar,0.2637
npuzzle_3x3_len8_3.txt,bfs,0.2348
npuzzle_3x3_len8_3.txt,dfs,0.2375
npuzzle_3x3_len8_3.txt,astar,0.2426
npuzzle_5x5_len9_7.txt,bfs,0.4144
npuzzle_5x5_len9_7.txt,dfs,0.2603
npuzzle_5x5_len9_7.txt,astar,0.2339
npuzzle_4x4_len8_4.txt,bfs,0.2297
npuzzle_4x4_len8_4.txt,dfs,0.2301
npuzzle_4x4_len8_4.txt,astar,0.2644
npuzzle_3x3_len1_9.txt,bfs,0.2583
npuzzle_3x3_len1_9.txt,dfs,0.2564
npuzzle_3x3_len1_9.txt,astar,0.2633
npuzzle_5x5_len8_0.txt,bfs,0.2816
npuzzle_5x5_len8_0.txt,dfs,0.2503
npuzzle_5x5_len8_0.txt,astar,0.2605
npuzzle_3x3_len6_9.txt,bfs,0.3109
npuzzle_3x3_len6_9.txt,dfs,0.2313
npuzzle_3x3_len6_9.txt,astar,0.2331
npuzzle_5x5_len9_2.txt,bfs,0.2726
npuzzle_5x5_len9_2.txt,dfs,0.2386
npuzzle_5x5_len9_2.txt,astar,0.2356
npuzzle_5x5_len7_3.txt,bfs,0.3129
npuzzle_5x5_len7_3.txt,dfs,0.2671
npuzzle_5x5_len7_3.txt,astar,0.2493
npuzzle_3x3_len8_2.txt,bfs,0.2649
npuzzle_3x3_len8_2.txt,dfs,0.2645
npuzzle_3x3_len8_2.txt,astar,0.2359
npuzzle_3x3_len2_9.txt,bfs,0.2348
npuzzle_3x3_len2_9.txt,dfs,0.2348
npuzzle_3x3_len2_9.txt,astar,0.2436
npuzzle_3x3_len1_3.txt,bfs,0.2529
npuzzle_3x3_len1_3.txt,dfs,0.2301
npuzzle_3x3_len1_3.txt,astar,0.2276
npuzzle_4x4_len2_4.txt,bfs,0.2453
npuzzle_4x4_len2_4.txt,dfs,0.2256
npuzzle_4x4_len2_4.txt,astar,0.237
npuzzle_3x3_len7_0.txt,bfs,0.2307
npuzzle_3x3_len7_0.txt,dfs,0.243
npuzzle_3x3_len7_0.txt,astar,0.2734
npuzzle_5x5_len9_8.txt,bfs,0.2561
npuzzle_5x5_len9_8.txt,dfs,0.2284
npuzzle_5x5_len9_8.txt,astar,0.2454
npuzzle_5x5_len5_0.txt,bfs,0.2334
npuzzle_5x5_len5_0.txt,dfs,0.2328
npuzzle_5x5_len5_0.txt,astar,0.2269
npuzzle_3x3_len1_5.txt,bfs,0.2274
npuzzle_3x3_len1_5.txt,dfs,0.2293
npuzzle_3x3_len1_5.txt,astar,0.2157
npuzzle_5x5_len3_9.txt,bfs,0.2266
npuzzle_5x5_len3_9.txt,dfs,0.2858
npuzzle_5x5_len3_9.txt,astar,0.4825
npuzzle_3x3_len10_6.txt,bfs,0.2687
npuzzle_3x3_len10_6.txt,dfs,0.2624
npuzzle_3x3_len10_6.txt,astar,0.2276
npuzzle_4x4_len10_6.txt,bfs,0.2299
npuzzle_4x4_len10_6.txt,dfs,0.2363
npuzzle_4x4_len10_6.txt,astar,0.2474
npuzzle_5x5_len3_8.txt,bfs,0.3265
npuzzle_5x5_len3_8.txt,dfs,0.2973
npuzzle_5x5_len3_8.txt,astar,0.2569
npuzzle_3x3_len5_6.txt,bfs,0.2321
npuzzle_3x3_len5_6.txt,dfs,0.2347
npuzzle_3x3_len5_6.txt,astar,0.2241
npuzzle_5x5_len7_9.txt,bfs,0.2209
npuzzle_5x5_len7_9.txt,dfs,0.2268
npuzzle_5x5_len7_9.txt,astar,0.25
npuzzle_3x3_len2_8.txt,bfs,0.236
npuzzle_3x3_len2_8.txt,dfs,0.2339
npuzzle_3x3_len2_8.txt,astar,0.2257
npuzzle_4x4_len7_5.txt,bfs,0.2406
npuzzle_4x4_len7_5.txt,dfs,0.2335
npuzzle_4x4_len7_5.txt,astar,0.2296
npuzzle_4x4_len2_2.txt,bfs,0.2291
npuzzle_4x4_len2_2.txt,dfs,0.2327
npuzzle_4x4_len2_2.txt,astar,0.2272
npuzzle_3x3_len9_3.txt,bfs,0.2402
npuzzle_3x3_len9_3.txt,dfs,0.2246
npuzzle_3x3_len9_3.txt,astar,0.2303
npuzzle_4x4_len4_2.txt,bfs,0.2413
npuzzle_4x4_len4_2.txt,dfs,0.2371
npuzzle_4x4_len4_2.txt,astar,0.2319
npuzzle_3x3_len8_0.txt,bfs,0.2228
npuzzle_3x3_len8_0.txt,dfs,0.2528
npuzzle_3x3_len8_0.txt,astar,0.2309
npuzzle_5x5_len5_4.txt,bfs,0.2363
npuzzle_5x5_len5_4.txt,dfs,0.2422
npuzzle_5x5_len5_4.txt,astar,0.2291
npuzzle_5x5_len5_1.txt,bfs,0.2383
npuzzle_5x5_len5_1.txt,dfs,0.2242
npuzzle_5x5_len5_1.txt,astar,0.2246
npuzzle_4x4_len5_1.txt,bfs,0.2389
npuzzle_4x4_len5_1.txt,dfs,0.2278
npuzzle_4x4_len5_1.txt,astar,0.2165
npuzzle_5x5_len3_4.txt,bfs,0.2244
npuzzle_5x5_len3_4.txt,dfs,0.2616
npuzzle_5x5_len3_4.txt,astar,0.2298
npuzzle_5x5_len8_2.txt,bfs,0.2487
npuzzle_5x5_len8_2.txt,dfs,0.2295
npuzzle_5x5_len8_2.txt,astar,0.2321
npuzzle_3x3_len4_2.txt,bfs,0.2376
npuzzle_3x3_len4_2.txt,dfs,0.2487
npuzzle_3x3_len4_2.txt,astar,0.2285
npuzzle_5x5_len7_5.txt,bfs,0.2371
npuzzle_5x5_len7_5.txt,dfs,0.2861
npuzzle_5x5_len7_5.txt,astar,0.2553
npuzzle_3x3_len5_9.txt,bfs,0.2268
npuzzle_3x3_len5_9.txt,dfs,0.2248
npuzzle_3x3_len5_9.txt,astar,0.2292
npuzzle_3x3_len1_2.txt,bfs,0.2334
npuzzle_3x3_len1_2.txt,dfs,0.2181
npuzzle_3x3_len1_2.txt,astar,0.2199
npuzzle_5x5_len10_6.txt,bfs,0.2385
npuzzle_5x5_len10_6.txt,dfs,0.2458
npuzzle_5x5_len10_6.txt,astar,0.2411
npuzzle_5x5_len1_0.txt,bfs,0.226
npuzzle_5x5_len1_0.txt,dfs,0.227
npuzzle_5x5_len1_0.txt,astar,0.2421
npuzzle_3x3_len1_8.txt,bfs,0.2327
npuzzle_3x3_len1_8.txt,dfs,0.2322
npuzzle_3x3_len1_8.txt,astar,0.2272
npuzzle_3x3_len6_7.txt,bfs,0.2226
npuzzle_3x3_len6_7.txt,dfs,0.2573
npuzzle_3x3_len6_7.txt,astar,0.278
npuzzle_5x5_len7_1.txt,bfs,0.2217
npuzzle_5x5_len7_1.txt,dfs,0.2307
npuzzle_5x5_len7_1.txt,astar,0.2479
npuzzle_3x3_len10_2.txt,bfs,0.2278
npuzzle_3x3_len10_2.txt,dfs,0.2259
npuzzle_3x3_len10_2.txt,astar,0.2309
npuzzle_4x4_len9_0.txt,bfs,0.2275
npuzzle_4x4_len9_0.txt,dfs,0.2268
npuzzle_4x4_len9_0.txt,astar,0.2501
npuzzle_4x4_len8_7.txt,bfs,0.2267
npuzzle_4x4_len8_7.txt,dfs,0.236
npuzzle_4x4_len8_7.txt,astar,0.2204
npuzzle_5x5_len9_9.txt,bfs,0.3547
npuzzle_5x5_len9_9.txt,dfs,0.2345
npuzzle_5x5_len9_9.txt,astar,0.2243
npuzzle_4x4_len5_5.txt,bfs,0.2176
npuzzle_4x4_len5_5.txt,dfs,0.2298
npuzzle_4x4_len5_5.txt,astar,0.3636
npuzzle_5x5_len7_7.txt,bfs,0.2802
npuzzle_5x5_len7_7.txt,dfs,0.2312
npuzzle_5x5_len7_7.txt,astar,0.2289
npuzzle_5x5_len10_2.txt,bfs,0.2959
npuzzle_5x5_len10_2.txt,dfs,0.2482
npuzzle_5x5_len10_2.txt,astar,0.2389
npuzzle_3x3_len4_3.txt,bfs,0.2261
npuzzle_3x3_len4_3.txt,dfs,0.2385
npuzzle_3x3_len4_3.txt,astar,0.2487
npuzzle_5x5_len9_6.txt,bfs,0.23
npuzzle_5x5_len9_6.txt,dfs,0.2279
npuzzle_5x5_len9_6.txt,astar,0.2251
npuzzle_3x3_len8_5.txt,bfs,0.2311
npuzzle_3x3_len8_5.txt,dfs,0.2302
npuzzle_3x3_len8_5.txt,astar,0.2309
npuzzle_3x3_len3_4.txt,bfs,0.2237
npuzzle_3x3_len3_4.txt,dfs,0.2338
npuzzle_3x3_len3_4.txt,astar,0.2376
npuzzle_5x5_len2_3.txt,bfs,0.238
npuzzle_5x5_len2_3.txt,dfs,0.2199
npuzzle_5x5_len2_3.txt,astar,0.2226
npuzzle_3x3_len9_6.txt,bfs,0.2253
npuzzle_3x3_len9_6.txt,dfs,0.2682
npuzzle_3x3_len9_6.txt,astar,0.3822
npuzzle_4x4_len3_2.txt,bfs,0.2314
npuzzle_4x4_len3_2.txt,dfs,0.2255
npuzzle_4x4_len3_2.txt,astar,0.2764
npuzzle_4x4_len1_9.txt,bfs,0.2213
npuzzle_4x4_len1_9.txt,dfs,0.2661
npuzzle_4x4_len1_9.txt,astar,0.638
npuzzle_5x5_len2_8.txt,bfs,0.3501
npuzzle_5x5_len2_8.txt,dfs,0.332
npuzzle_5x5_len2_8.txt,astar,0.2746
npuzzle_4x4_len1_4.txt,bfs,0.2702
npuzzle_4x4_len1_4.txt,dfs,0.2498
npuzzle_4x4_len1_4.txt,astar,0.2489
npuzzle_5x5_len4_6.txt,bfs,0.2505
npuzzle_5x5_len4_6.txt,dfs,0.2498
npuzzle_5x5_len4_6.txt,astar,0.2732
npuzzle_5x5_len8_1.txt,bfs,0.2681
npuzzle_5x5_len8_1.txt,dfs,0.2363
npuzzle_5x5_len8_1.txt,astar,0.2839
npuzzle_5x5_len4_0.txt,bfs,0.2416
npuzzle_5x5_len4_0.txt,dfs,0.2609
npuzzle_5x5_len4_0.txt,astar,0.2258
npuzzle_5x5_len2_6.txt,bfs,0.2351
npuzzle_5x5_len2_6.txt,dfs,0.2346
npuzzle_5x5_len2_6.txt,astar,0.2285
npuzzle_4x4_len8_9.txt,bfs,0.2271
npuzzle_4x4_len8_9.txt,dfs,0.2179
npuzzle_4x4_len8_9.txt,astar,0.2418
npuzzle_3x3_len7_8.txt,bfs,0.246
npuzzle_3x3_len7_8.txt,dfs,0.2835
npuzzle_3x3_len7_8.txt,astar,0.2515
npuzzle_4x4_len8_0.txt,bfs,0.2888
npuzzle_4x4_len8_0.txt,dfs,0.2257
npuzzle_4x4_len8_0.txt,astar,0.2282
npuzzle_4x4_len6_8.txt,bfs,0.2235
npuzzle_4x4_len6_8.txt,dfs,0.2321
npuzzle_4x4_len6_8.txt,astar,0.2668
npuzzle_4x4_len7_1.txt,bfs,0.247
npuzzle_4x4_len7_1.txt,dfs,0.2251
npuzzle_4x4_len7_1.txt,astar,0.2348
npuzzle_5x5_len3_5.txt,bfs,0.2243
npuzzle_5x5_len3_5.txt,dfs,0.2399
npuzzle_5x5_len3_5.txt,astar,0.2282
npuzzle_5x5_len2_2.txt,bfs,0.2236
npuzzle_5x5_len2_2.txt,dfs,0.2273
npuzzle_5x5_len2_2.txt,astar,0.2268
npuzzle_3x3_len10_4.txt,bfs,0.2817
npuzzle_3x3_len10_4.txt,dfs,0.2295
npuzzle_3x3_len10_4.txt,astar,0.2466
npuzzle_4x4_len3_4.txt,bfs,0.2217
npuzzle_4x4_len3_4.txt,dfs,0.2254
npuzzle_4x4_len3_4.txt,astar,0.2217
npuzzle_3x3_len1_7.txt,bfs,0.2315
npuzzle_3x3_len1_7.txt,dfs,0.2314
npuzzle_3x3_len1_7.txt,astar,0.2246
npuzzle_5x5_len7_0.txt,bfs,0.2321
npuzzle_5x5_len7_0.txt,dfs,0.2531
npuzzle_5x5_len7_0.txt,astar,0.2801
npuzzle_3x3_len7_4.txt,bfs,0.231
npuzzle_3x3_len7_4.txt,dfs,0.2468
npuzzle_3x3_len7_4.txt,astar,0.2284
npuzzle_5x5_len4_2.txt,bfs,0.2301
npuzzle_5x5_len4_2.txt,dfs,0.2435
npuzzle_5x5_len4_2.txt,astar,0.2341
npuzzle_3x3_len5_4.txt,bfs,0.2326
npuzzle_3x3_len5_4.txt,dfs,0.2532
npuzzle_3x3_len5_4.txt,astar,0.2262
npuzzle_4x4_len2_9.txt,bfs,0.2235
npuzzle_4x4_len2_9.txt,dfs,0.2395
npuzzle_4x4_len2_9.txt,astar,0.2624
npuzzle_3x3_len8_8.txt,bfs,0.2257
npuzzle_3x3_len8_8.txt,dfs,0.2106
npuzzle_3x3_len8_8.txt,astar,0.2216
npuzzle_5x5_len3_3.txt,bfs,0.2238
npuzzle_5x5_len3_3.txt,dfs,0.2552
npuzzle_5x5_len3_3.txt,astar,0.2206
npuzzle_4x4_len4_0.txt,bfs,0.2213
npuzzle_4x4_len4_0.txt,dfs,0.2274
npuzzle_4x4_len4_0.txt,astar,0.2571
npuzzle_3x3_len3_8.txt,bfs,0.233
npuzzle_3x3_len3_8.txt,dfs,0.2237
npuzzle_3x3_len3_8.txt,astar,0.2376
npuzzle_3x3_len8_7.txt,bfs,0.2457
npuzzle_3x3_len8_7.txt,dfs,0.2745
npuzzle_3x3_len8_7.txt,astar,0.258
npuzzle_4x4_len2_8.txt,bfs,0.2271
npuzzle_4x4_len2_8.txt,dfs,0.2309
npuzzle_4x4_len2_8.txt,astar,0.2191
npuzzle_5x5_len1_2.txt,bfs,0.2183
npuzzle_5x5_len1_2.txt,dfs,0.2289
npuzzle_5x5_len1_2.txt,astar,0.2277
npuzzle_3x3_len4_4.txt,bfs,0.239
npuzzle_3x3_len4_4.txt,dfs,0.2127
npuzzle_3x3_len4_4.txt,astar,0.2692
npuzzle_4x4_len10_3.txt,bfs,0.6123
npuzzle_4x4_len10_3.txt,dfs,0.3999
npuzzle_4x4_len10_3.txt,astar,0.2346
npuzzle_4x4_len10_9.txt,bfs,0.3848
npuzzle_4x4_len10_9.txt,dfs,0.2443
npuzzle_4x4_len10_9.txt,astar,0.2446
npuzzle_3x3_len6_0.txt,bfs,0.2453
npuzzle_3x3_len6_0.txt,dfs,0.2227
npuzzle_3x3_len6_0.txt,astar,0.2323
npuzzle_3x3_len4_8.txt,bfs,0.2372
npuzzle_3x3_len4_8.txt,dfs,0.2268
npuzzle_3x3_len4_8.txt,astar,0.2212
npuzzle_4x4_len2_0.txt,bfs,0.2191
npuzzle_4x4_len2_0.txt,dfs,0.2192
npuzzle_4x4_len2_0.txt,astar,0.2657
npuzzle_5x5_len1_6.txt,bfs,0.2352
npuzzle_5x5_len1_6.txt,dfs,0.2287
npuzzle_5x5_len1_6.txt,astar,0.2272
npuzzle_5x5_len3_2.txt,bfs,0.2322
npuzzle_5x5_len3_2.txt,dfs,0.2356
npuzzle_5x5_len3_2.txt,astar,0.2276
npuzzle_5x5_len9_4.txt,bfs,0.2338
npuzzle_5x5_len9_4.txt,dfs,0.2252
npuzzle_5x5_len9_4.txt,astar,0.2426
npuzzle_5x5_len5_9.txt,bfs,0.2996
npuzzle_5x5_len5_9.txt,dfs,0.2241
npuzzle_5x5_len5_9.txt,astar,0.2181
npuzzle_4x4_len3_5.txt,bfs,0.2183
npuzzle_4x4_len3_5.txt,dfs,0.2182
npuzzle_4x4_len3_5.txt,astar,0.2284
npuzzle_5x5_len4_5.txt,bfs,0.2297
npuzzle_5x5_len4_5.txt,dfs,0.2465
npuzzle_5x5_len4_5.txt,astar,0.2333
npuzzle_3x3_len10_8.txt,bfs,0.3029
npuzzle_3x3_len10_8.txt,dfs,0.238
npuzzle_3x3_len10_8.txt,astar,0.2352
npuzzle_3x3_len3_0.txt,bfs,0.2469
npuzzle_3x3_len3_0.txt,dfs,0.2306
npuzzle_3x3_len3_0.txt,astar,0.2268
npuzzle_5x5_len10_3.txt,bfs,0.2276
npuzzle_5x5_len10_3.txt,dfs,0.236
npuzzle_5x5_len10_3.txt,astar,0.2223
npuzzle_5x5_len9_5.txt,bfs,0.2494
npuzzle_5x5_len9_5.txt,dfs,0.2286
npuzzle_5x5_len9_5.txt,astar,0.2352
npuzzle_3x3_len8_9.txt,bfs,0.4194
npuzzle_3x3_len8_9.txt,dfs,0.2322
npuzzle_3x3_len8_9.txt,astar,0.2275
npuzzle_3x3_len2_2.txt,bfs,0.2255
npuzzle_3x3_len2_2.txt,dfs,0.235
npuzzle_3x3_len2_2.txt,astar,0.289
npuzzle_4x4_len2_1.txt,bfs,0.4226
npuzzle_4x4_len2_1.txt,dfs,0.3151
npuzzle_4x4_len2_1.txt,astar,0.2579
npuzzle_5x5_len6_8.txt,bfs,0.2298
npuzzle_5x5_len6_8.txt,dfs,0.2364
npuzzle_5x5_len6_8.txt,astar,0.2244
npuzzle_5x5_len10_7.txt,bfs,0.2798
npuzzle_5x5_len10_7.txt,dfs,0.2313
npuzzle_5x5_len10_7.txt,astar,0.2417
npuzzle_4x4_len4_3.txt,bfs,0.2443
npuzzle_4x4_len4_3.txt,dfs,0.2265
npuzzle_4x4_len4_3.txt,astar,0.2261
npuzzle_3x3_len1_4.txt,bfs,0.2275
npuzzle_3x3_len1_4.txt,dfs,0.2467
npuzzle_3x3_len1_4.txt,astar,0.2334
npuzzle_5x5_len6_9.txt,bfs,0.2308
npuzzle_5x5_len6_9.txt,dfs,0.2222
npuzzle_5x5_len6_9.txt,astar,0.2255
npuzzle_5x5_len6_6.txt,bfs,0.2793
npuzzle_5x5_len6_6.txt,dfs,0.2324
npuzzle_5x5_len6_6.txt,astar,0.231
npuzzle_5x5_len2_5.txt,bfs,0.2312
npuzzle_5x5_len2_5.txt,dfs,0.2272
npuzzle_5x5_len2_5.txt,astar,0.2317
npuzzle_4x4_len2_6.txt,bfs,0.2185
npuzzle_4x4_len2_6.txt,dfs,0.2303
npuzzle_4x4_len2_6.txt,astar,0.2262
npuzzle_5x5_len4_4.txt,bfs,0.2354
npuzzle_5x5_len4_4.txt,dfs,0.24
npuzzle_5x5_len4_4.txt,astar,0.2267
npuzzle_4x4_len2_5.txt,bfs,0.2184
npuzzle_4x4_len2_5.txt,dfs,0.2218
npuzzle_4x4_len2_5.txt,astar,0.2328
npuzzle_5x5_len10_9.txt,bfs,0.2742
npuzzle_5x5_len10_9.txt,dfs,0.2467
npuzzle_5x5_len10_9.txt,astar,0.2346
npuzzle_4x4_len8_1.txt,bfs,0.2223
npuzzle_4x4_len8_1.txt,dfs,0.2651
npuzzle_4x4_len8_1.txt,astar,0.2325
npuzzle_5x5_len10_5.txt,bfs,0.2612
npuzzle_5x5_len10_5.txt,dfs,0.2624
npuzzle_5x5_len10_5.txt,astar,0.2287
npuzzle_5x5_len6_7.txt,bfs,0.2398
npuzzle_5x5_len6_7.txt,dfs,0.2417
npuzzle_5x5_len6_7.txt,astar,0.2264
npuzzle_3x3_len7_9.txt,bfs,0.2273
npuzzle_3x3_len7_9.txt,dfs,0.2652
npuzzle_3x3_len7_9.txt,astar,0.2253
npuzzle_4x4_len1_0.txt,bfs,0.2279
npuzzle_4x4_len1_0.txt,dfs,0.2231
npuzzle_4x4_len1_0.txt,astar,0.2368
npuzzle_4x4_len9_9.txt,bfs,0.2279
npuzzle_4x4_len9_9.txt,dfs,0.2195
npuzzle_4x4_len9_9.txt,astar,0.2247
npuzzle_3x3_len4_5.txt,bfs,0.2359
npuzzle_3x3_len4_5.txt,dfs,0.2762
npuzzle_3x3_len4_5.txt,astar,0.2691
npuzzle_4x4_len3_3.txt,bfs,0.2316
npuzzle_4x4_len3_3.txt,dfs,0.2324
npuzzle_4x4_len3_3.txt,astar,0.2249
npuzzle_3x3_len4_0.txt,bfs,0.2283
npuzzle_3x3_len4_0.txt,dfs,0.2222
npuzzle_3x3_len4_0.txt,astar,0.2271
npuzzle_3x3_len9_7.txt,bfs,0.2254
npuzzle_3x3_len9_7.txt,dfs,0.2564
npuzzle_3x3_len9_7.txt,astar,0.456
npuzzle_4x4_len7_9.txt,bfs,0.2373
npuzzle_4x4_len7_9.txt,dfs,0.2258
npuzzle_4x4_len7_9.txt,astar,0.2204
npuzzle_5x5_len9_1.txt,bfs,0.3067
npuzzle_5x5_len9_1.txt,dfs,0.2639
npuzzle_5x5_len9_1.txt,astar,0.2296
